date,adgroup,criteria,clicks,impressions,cost,campaign
2023-06-07,EVO_Conv_TPB DOP_Ecommerce,Image_0104,89,6082,193953,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Ecommerce,Image_0204,1,737,4283,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Ecommerce,Video_0103,3,275,9077,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Insurance,Image_0103,8,1458,39146,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Insurance,Image_0104,0,142,4549,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Insurance,Image_0204,0,2,19,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Insurance,Video_0103,7,420,20932,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Investment,Image_0103,6,1180,22747,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Investment,Image_0104,6,962,26937,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Investment,Image_0204,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Investment,Video_0103,0,0,0,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0103,55,1607,70899,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_LALCardActive_Esign,Image_0104,34,1439,50111,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_LALCardActive_Esign,Video_0103,0,1,26,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Mortgage,Image_0103,206,12653,467852,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Mortgage,Image_0104,205,17741,553889,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Mortgage,Image_0204,7,1841,11400,EVO_Conv_TPB DOP_Esign
2023-06-07,EVO_Conv_TPB DOP_Mortgage,Video_0103,6,510,25924,EVO_Conv_TPB DOP_Esign
2023-06-08,Conv_Esign_Mas,Image_0103,802,51882,2598643,Conv_Esign
2023-06-08,Conv_Esign_Mas,Image_0104,1087,108045,4032738,Conv_Esign
2023-06-08,Conv_Esign_Mas,Image_0204,21,6218,53370,Conv_Esign
2023-06-08,Conv_Esign_Mas,Video_0103,48,1804,118459,Conv_Esign
2023-06-08,Conv_Esign_Retargeting,Image_0103,15,271,25321,Conv_Esign
2023-06-08,Conv_Esign_Retargeting,Image_0104,30,1063,71622,Conv_Esign
2023-06-08,Conv_Esign_Retargeting,Video_0103,1,37,3344,Conv_Esign
